HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"41/23 Doan Trong Truyen St., Phu Loc 530000 Vietnam",N/A,N/A,1896,"English, French, Japanese, Korean",Vedana Lagoon Resort & Spa,$117 ,N/A,$67 - $117,"What are some of the property amenities at Vedana Lagoon Resort & Spa?, ,Which room amenities are available at Vedana Lagoon Resort & Spa?, ,What food & drink options are available at Vedana Lagoon Resort & Spa?, ,Is parking available at Vedana Lagoon Resort & Spa?, ,Are there opportunities to exercise at Vedana Lagoon Resort & Spa?, ,Does Vedana Lagoon Resort & Spa have an airport shuttle?, ,Does Vedana Lagoon Resort & Spa have airport transportation?, ,Are any cleaning services offered at Vedana Lagoon Resort & Spa?, ,Does Vedana Lagoon Resort & Spa offer any business services?, ,Which languages are spoken by the staff at Vedana Lagoon Resort & Spa?, ,Does Vedana Lagoon Resort & Spa have any great views?, ",507,865,#1 of 2 hotels in Phu Loc,4.5,5,N/A,Excellent,68,Quiet,190,https://www.tripadvisor.com/Hotel_Review-g2549590-d1792003-Reviews-Vedana_Lagoon_Resort_Spa-Phu_Loc_Phu_Loc_District_Thua_Thien_Hue_Province.html
"Thon Binh An 1, Loc Vinh Vietnam",N/A,N/A,N/A,N/A,Paciano Homestay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Loc Vinh,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g19732319-d23184648-Reviews-Paciano_Homestay-Loc_Vinh_Phu_Loc_District_Thua_Thien_Hue_Province.html
N/A,N/A,N/A,N/A,N/A,Sala House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thuan An,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g12293805-d16766102-Reviews-Sala_House-Thuan_An_Thua_Thien_Hue_Province.html
N/A,N/A,N/A,N/A,N/A,Ruby Villa,$37 ,N/A,$36 - $37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thuan An,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g12293805-d17352908-Reviews-Ruby_Villa-Thuan_An_Thua_Thien_Hue_Province.html
"63 Nguyen Van Tuyet, Thuan An 530000 Vietnam",N/A,N/A,1,N/A,Dong Hai Hotel,$13 ,N/A,$11 - $13,"Which popular attractions are close to Dong Hai Hotel?, ,What are some of the property amenities at Dong Hai Hotel?, ,Is parking available at Dong Hai Hotel?, ,What are some restaurants close to Dong Hai Hotel?, ",26,3,#1 of 1 special hotel in Thuan An,5,N/A,N/A,Excellent,6,N/A,1,https://www.tripadvisor.com/Hotel_Review-g12293805-d17415148-Reviews-Dong_Hai_Hotel-Thuan_An_Thua_Thien_Hue_Province.html
"31 Bui Xuan Phai Thuy Duong, Huong Thuy 53000 Vietnam",N/A,N/A,N/A,"English, Vietnamese",Thanh Phuong Hotel,N/A,N/A,N/A,"Which popular attractions are close to Thanh Phuong Hotel?, ,What are some of the property amenities at Thanh Phuong Hotel?, ,Which room amenities are available at Thanh Phuong Hotel?, ,Is parking available at Thanh Phuong Hotel?, ,What are some restaurants close to Thanh Phuong Hotel?, ,Which languages are spoken by the staff at Thanh Phuong Hotel?, ",N/A,2,#1 of 1 guest house in Huong Thuy,5,N/A,N/A,Excellent,11,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g15333846-d17838534-Reviews-Thanh_Phuong_Hotel-Huong_Thuy_Thua_Thien_Hue_Province.html
"Lo A9, Khu Quy Hoach Thuy Duong, Phuong Thuy Duong, Huong Thuy Vietnam",115,37,N/A,N/A,Soleil House Villa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,461,N/A,Huong Thuy,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g15333846-d17595629-Reviews-Soleil_House_Villa-Huong_Thuy_Thua_Thien_Hue_Province.html
"Cu Chanh 1, Thuy Bang, Huong Thuy 49610 Vietnam",N/A,N/A,13,N/A,Nano Eco-Hostel,$34 ,N/A,$29 - $34,"Which popular attractions are close to Nano Eco-Hostel?, ,What are some of the property amenities at Nano Eco-Hostel?, ,What food & drink options are available at Nano Eco-Hostel?, ,Is parking available at Nano Eco-Hostel?, ,What are some restaurants close to Nano Eco-Hostel?, ,Are there opportunities to exercise at Nano Eco-Hostel?, ,Does Nano Eco-Hostel have airport transportation?, ",8,3,#1 of 1 hostel in Huong Thuy,5,N/A,N/A,Excellent,6,N/A,5,https://www.tripadvisor.com/Hotel_Review-g15333846-d19235706-Reviews-Nano_Eco_Hostel-Huong_Thuy_Thua_Thien_Hue_Province.html
N/A,N/A,N/A,N/A,N/A,OYO 849 Thanh Phuong Hotel,$22 ,N/A,$10 - $22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Huong Thuy,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g15333846-d20303134-Reviews-OYO_849_Thanh_Phuong_Hotel-Huong_Thuy_Thua_Thien_Hue_Province.html
"27 Nguyen Tat Thanh, Huong Thuy 530000 Vietnam",115,40,2,"English, Vietnamese",Dinh Villa,$70 ,N/A,$13 - $70,"Which popular attractions are close to Dinh Villa?, ,What are some of the property amenities at Dinh Villa?, ,Which room amenities are available at Dinh Villa?, ,What food & drink options are available at Dinh Villa?, ,Is parking available at Dinh Villa?, ,What are some restaurants close to Dinh Villa?, ,Does Dinh Villa have airport transportation?, ,Which languages are spoken by the staff at Dinh Villa?, ",5,2,#1 of 1 villa in Huong Thuy,3,N/A,464,Average,5,N/A,2,https://www.tripadvisor.com/Hotel_Review-g15333846-d20344744-Reviews-Dinh_Villa-Huong_Thuy_Thua_Thien_Hue_Province.html
"302 Lac Long Quan 302 Láº¡c Long QuÃ¢n, Lang Co Vietnam",N/A,N/A,N/A,N/A,Khach san Thanh Dat,N/A,N/A,N/A,"What are some of the property amenities at Khach san Thanh Äat?, ,Is parking available at Khach san Thanh Äat?, ,Are pets allowed at Khach san Thanh Äat?, ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g11923533-d12698922-Reviews-Khach_san_Thanh_Dat-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html
"364 Lac Long Quan, Lang Co 530000 Vietnam",1,45,N/A,"English, Vietnamese",OYO 1022 Ngoc Hang Hotel,$22 ,N/A,$10 - $22,"Which popular attractions are close to OYO 1022 Ngoc Hang Hotel?, ,What are some of the property amenities at OYO 1022 Ngoc Hang Hotel?, ,Is parking available at OYO 1022 Ngoc Hang Hotel?, ,What are some restaurants close to OYO 1022 Ngoc Hang Hotel?, ,Does OYO 1022 Ngoc Hang Hotel have an airport shuttle?, ,Does OYO 1022 Ngoc Hang Hotel have airport transportation?, ,Which languages are spoken by the staff at OYO 1022 Ngoc Hang Hotel?, ",N/A,2,#1 of 1 hostel in Lang Co,1,N/A,10,Terrible,19,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g11923533-d10052211-Reviews-OYO_1022_Ngoc_Hang_Hotel-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html
Phu Loc Vietnam,N/A,N/A,N/A,"English, Russian, Vietnamese",Anh Dung Guesthouse,$14 ,N/A,$11 - $14,"Which popular attractions are close to Anh Dung Guesthouse?, ,What are some of the property amenities at Anh Dung Guesthouse?, ,What food & drink options are available at Anh Dung Guesthouse?, ,Is parking available at Anh Dung Guesthouse?, ,What are some restaurants close to Anh Dung Guesthouse?, ,Does Anh Dung Guesthouse have an airport shuttle?, ,Does Anh Dung Guesthouse have airport transportation?, ,Are pets allowed at Anh Dung Guesthouse?, ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Phu Loc,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2549590-d8511838-Reviews-Anh_Dung_Guesthouse-Phu_Loc_Phu_Loc_District_Thua_Thien_Hue_Province.html
N/A,N/A,N/A,N/A,N/A,OYO 1002 Champa Lang Co Hotel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Phu Loc,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2549590-d23004485-Reviews-OYO_1002_Champa_Lang_Co_Hotel-Phu_Loc_Phu_Loc_District_Thua_Thien_Hue_Province.html
"510 Lac Long Quan Str, Phu Loc Vietnam",N/A,N/A,N/A,N/A,Champa Hotel,$38 ,N/A,$13 - $38,"Which popular attractions are close to Champa Hotel?, ,What are some of the property amenities at Champa Hotel?, ,What food & drink options are available at Champa Hotel?, ,What are some restaurants close to Champa Hotel?, ",N/A,1,#1 of 1 small hotel in Phu Loc,2,N/A,N/A,Poor,Phu Loc,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2549590-d4873425-Reviews-Champa_Hotel-Phu_Loc_Phu_Loc_District_Thua_Thien_Hue_Province.html
"499 Lac Long Quan, Lang Co Town, Phu Loc Vietnam",N/A,N/A,N/A,"English, Vietnamese",Lang Co Resort,$34 ,N/A,$13 - $34,"What are some of the property amenities at Lang Co Resort?, ,What food & drink options are available at Lang Co Resort?, ,Is parking available at Lang Co Resort?, ,Are there opportunities to exercise at Lang Co Resort?, ,Does Lang Co Resort have an airport shuttle?, ,Does Lang Co Resort have airport transportation?, ,Are any cleaning services offered at Lang Co Resort?, ,Are pets allowed at Lang Co Resort?, ,Does Lang Co Resort offer any business services?, ",N/A,24,#1 of 1 special hotel in Phu Loc,3,3,N/A,Average,50,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2549590-d5602607-Reviews-Lang_Co_Resort-Phu_Loc_Phu_Loc_District_Thua_Thien_Hue_Province.html
"46 Chu Van An, Hue Vietnam",27,92,14,"English, Vietnamese",Hong Thien Backpackers Hotel,$18 ,$15 ,$15 - $18,"Which popular attractions are close to Hong Thien Backpackers Hotel?, ,What are some of the property amenities at Hong Thien Backpackers Hotel?, ,Which room amenities are available at Hong Thien Backpackers Hotel?, ,What food & drink options are available at Hong Thien Backpackers Hotel?, ,Is parking available at Hong Thien Backpackers Hotel?, ,What are some restaurants close to Hong Thien Backpackers Hotel?, ,Does Hong Thien Backpackers Hotel have an airport shuttle?, ,Does Hong Thien Backpackers Hotel have airport transportation?, ,Are any cleaning services offered at Hong Thien Backpackers Hotel?, ,Are pets allowed at Hong Thien Backpackers Hotel?, ,Which languages are spoken by the staff at Hong Thien Backpackers Hotel?, ",8,338,#6 of 75 hostels in Hue,4.5,2,160,Excellent,12,Budget,8,https://www.tripadvisor.com/Hotel_Review-g293926-d1227243-Reviews-Hong_Thien_Backpackers_Hotel-Hue_Thua_Thien_Hue_Province.html
"4 Tran Quang Khai St, Hue Vietnam",28,93,193,"English, Vietnamese",Villa Hue,"$1,074 ",$29 ,$29 - $1074,"Which popular attractions are close to Villa Hue?, ,What are some of the property amenities at Villa Hue?, ,Which room amenities are available at Villa Hue?, ,What food & drink options are available at Villa Hue?, ,Is parking available at Villa Hue?, ,What are some restaurants close to Villa Hue?, ,Are there opportunities to exercise at Villa Hue?, ,Does Villa Hue have airport transportation?, ,Are any cleaning services offered at Villa Hue?, ,Does Villa Hue offer any business services?, ,Which languages are spoken by the staff at Villa Hue?, ",70,369,#32 of 138 hotels in Hue,4.5,4,185,Excellent,34,"Quiet,Mid-range",22,https://www.tripadvisor.com/Hotel_Review-g293926-d678701-Reviews-Villa_Hue-Hue_Thua_Thien_Hue_Province.html
"5 Lane 27 Nguyen Sinh Cung Street, Hue 530000 Vietnam",3,81,62,"English, Vietnamese",Charming Riverside Hotel,$15 ,$13 ,$13 - $15,"Which popular attractions are close to Charming Riverside Hotel?, ,What are some of the property amenities at Charming Riverside Hotel?, ,Which room amenities are available at Charming Riverside Hotel?, ,What food & drink options are available at Charming Riverside Hotel?, ,Is parking available at Charming Riverside Hotel?, ,What are some restaurants close to Charming Riverside Hotel?, ,Does Charming Riverside Hotel have an airport shuttle?, ,Does Charming Riverside Hotel have airport transportation?, ,Are any cleaning services offered at Charming Riverside Hotel?, ,Which languages are spoken by the staff at Charming Riverside Hotel?, ,Are there any historical sites close to Charming Riverside Hotel?, ",26,374,#6 of 138 hotels in Hue,5,2,24,Excellent,21,"Quiet,Charming",8,https://www.tripadvisor.com/Hotel_Review-g293926-d10627276-Reviews-Charming_Riverside_Hotel-Hue_Thua_Thien_Hue_Province.html
"44 Nguyen Cong Tru, Hue Vietnam",25,91,57,N/A,Casablanca Hotel,$41 ,$11 ,$11 - $41,"Which popular attractions are close to Casablanca Hotel?, ,What are some of the property amenities at Casablanca Hotel?, ,What food & drink options are available at Casablanca Hotel?, ,Is parking available at Casablanca Hotel?, ,What are some restaurants close to Casablanca Hotel?, ,Does Casablanca Hotel have an airport shuttle?, ,Does Casablanca Hotel have airport transportation?, ,Are any cleaning services offered at Casablanca Hotel?, ",64,380,#2 of 58 small hotels in Hue,5,2,133,Excellent,11,"Business,Family",3,https://www.tripadvisor.com/Hotel_Review-g293926-d3751393-Reviews-Casablanca_Hotel-Hue_Thua_Thien_Hue_Province.html
"10 Pham Ngu Lao St, Hue Vietnam",26,93,52,"English, Vietnamese",Vietnam Backpacker Hostels - Hue,$16 ,$11 ,$11 - $16,"Which popular attractions are close to Vietnam Backpacker Hostels - Hue?, ,What are some of the property amenities at Vietnam Backpacker Hostels - Hue?, ,What food & drink options are available at Vietnam Backpacker Hostels - Hue?, ,Is parking available at Vietnam Backpacker Hostels - Hue?, ,What are some restaurants close to Vietnam Backpacker Hostels - Hue?, ,Which languages are spoken by the staff at Vietnam Backpacker Hostels - Hue?, ,Are there any historical sites close to Vietnam Backpacker Hostels - Hue?, ",5,408,#15 of 75 hostels in Hue,4,N/A,162,Very good,7,"Centrally Located,Budget",3,https://www.tripadvisor.com/Hotel_Review-g293926-d1599488-Reviews-Vietnam_Backpacker_Hostels_Hue-Hue_Thua_Thien_Hue_Province.html
"17 Nguyen Hue Street, Hue 008454 Vietnam",4,77,398,"English, French, Chinese, Vietnamese",Mondial Hotel Hue,$49 ,$29 ,$29 - $49,"Which popular attractions are close to Mondial Hotel Hue?, ,What are some of the property amenities at Mondial Hotel Hue?, ,Which room amenities are available at Mondial Hotel Hue?, ,What food & drink options are available at Mondial Hotel Hue?, ,Is parking available at Mondial Hotel Hue?, ,What are some restaurants close to Mondial Hotel Hue?, ,Are there opportunities to exercise at Mondial Hotel Hue?, ,Does Mondial Hotel Hue have airport transportation?, ,Is Mondial Hotel Hue located near the city center?, ,Are any cleaning services offered at Mondial Hotel Hue?, ,Does Mondial Hotel Hue offer any business services?, ",77,467,#46 of 138 hotels in Hue,4,4,20,Very good,106,"Mid-range,Business",27,https://www.tripadvisor.com/Hotel_Review-g293926-d1930434-Reviews-Mondial_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
"9 Ngo Quyen Str, Hue 10000 Vietnam",11,93,258,N/A,Park View Hue Hotel,$58 ,$32 ,$32 - $58,"Which popular attractions are close to Park View Hue Hotel?, ,What are some of the property amenities at Park View Hue Hotel?, ,Which room amenities are available at Park View Hue Hotel?, ,What food & drink options are available at Park View Hue Hotel?, ,Is parking available at Park View Hue Hotel?, ,What are some restaurants close to Park View Hue Hotel?, ,Are there opportunities to exercise at Park View Hue Hotel?, ,Does Park View Hue Hotel have airport transportation?, ,Is Park View Hue Hotel located near the city center?, ,Are any cleaning services offered at Park View Hue Hotel?, ,Does Park View Hue Hotel offer any business services?, ",95,473,#45 of 138 hotels in Hue,4,4,53,Very good,119,"Park View,Mid-range",48,https://www.tripadvisor.com/Hotel_Review-g293926-d1017773-Reviews-Park_View_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html
"50A Hung Vuong Street, Hue 530000 Vietnam",6,94,683,"English, Vietnamese",Vinpearl Hotel Hue,$104 ,$61 ,$61 - $104,"Which popular attractions are close to Vinpearl Hotel Hue?, ,What are some of the property amenities at Vinpearl Hotel Hue?, ,Which room amenities are available at Vinpearl Hotel Hue?, ,What food & drink options are available at Vinpearl Hotel Hue?, ,What are some restaurants close to Vinpearl Hotel Hue?, ,Are there opportunities to exercise at Vinpearl Hotel Hue?, ,Does Vinpearl Hotel Hue have airport transportation?, ,Are any cleaning services offered at Vinpearl Hotel Hue?, ,Does Vinpearl Hotel Hue offer any business services?, ,Which languages are spoken by the staff at Vinpearl Hotel Hue?, ,Are there any historical sites close to Vinpearl Hotel Hue?, ",42,511,#1 of 138 hotels in Hue,5,5,74,Excellent,213,"Modern,Business",28,https://www.tripadvisor.com/Hotel_Review-g293926-d15113220-Reviews-Vinpearl_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
"66/3 Le Loi Hue, Hue Vietnam",26,93,108,N/A,Amigo Hotel,$17 ,$13 ,$13 - $17,"Which popular attractions are close to Amigo Hotel?, ,What are some of the property amenities at Amigo Hotel?, ,What food & drink options are available at Amigo Hotel?, ,Is parking available at Amigo Hotel?, ,What are some restaurants close to Amigo Hotel?, ,Does Amigo Hotel have airport transportation?, ,Are there any historical sites close to Amigo Hotel?, ",20,485,#23 of 138 hotels in Hue,4.5,2,150,Excellent,15,"Classic,Centrally Located",8,https://www.tripadvisor.com/Hotel_Review-g293926-d1220757-Reviews-Amigo_Hotel-Hue_Thua_Thien_Hue_Province.html
"57/3 Nguyen Cong Tru Str., Hue 8454 Vietnam",25,91,68,N/A,Vina Hotel Hue,N/A,N/A,N/A,"Which popular attractions are close to Vina Hotel Hue?, ,What are some of the property amenities at Vina Hotel Hue?, ,What food & drink options are available at Vina Hotel Hue?, ,Is parking available at Vina Hotel Hue?, ,What are some restaurants close to Vina Hotel Hue?, ,Does Vina Hotel Hue have an airport shuttle?, ,Does Vina Hotel Hue have airport transportation?, ,Are any cleaning services offered at Vina Hotel Hue?, ,Are there any historical sites close to Vina Hotel Hue?, ,Does Vina Hotel Hue have any great views?, ",30,498,#27 of 138 hotels in Hue,4.5,3,121,Excellent,24,River View,5,https://www.tripadvisor.com/Hotel_Review-g293926-d1539101-Reviews-Vina_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
"29 Doi Cung Str, Hue Vietnam",28,94,295,Vietnamese,Midtown Hotel Hue,$48 ,$35 ,$35 - $48,"Which popular attractions are close to Midtown Hotel Hue?, ,What are some of the property amenities at Midtown Hotel Hue?, ,Which room amenities are available at Midtown Hotel Hue?, ,What food & drink options are available at Midtown Hotel Hue?, ,Is parking available at Midtown Hotel Hue?, ,What are some restaurants close to Midtown Hotel Hue?, ,Are there opportunities to exercise at Midtown Hotel Hue?, ,Does Midtown Hotel Hue have airport transportation?, ,Are any cleaning services offered at Midtown Hotel Hue?, ,Does Midtown Hotel Hue offer any business services?, ,Are there any historical sites close to Midtown Hotel Hue?, ",30,518,#43 of 138 hotels in Hue,4,4,190,Very good,88,"River View,Modern",4,https://www.tripadvisor.com/Hotel_Review-g293926-d3909746-Reviews-Midtown_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
"7/64 Nguyen Cong Tru Phu Hoi, Hue 530000 Vietnam",25,91,59,Vietnamese,New Valentine Hotel,$19 ,$12 ,$12 - $19,"Which popular attractions are close to New Valentine Hotel?, ,What are some of the property amenities at New Valentine Hotel?, ,Which room amenities are available at New Valentine Hotel?, ,What food & drink options are available at New Valentine Hotel?, ,Is parking available at New Valentine Hotel?, ,What are some restaurants close to New Valentine Hotel?, ,Does New Valentine Hotel have an airport shuttle?, ,Does New Valentine Hotel have airport transportation?, ,Are any cleaning services offered at New Valentine Hotel?, ,Are there any historical sites close to New Valentine Hotel?, ,Does New Valentine Hotel have any great views?, ",10,543,#26 of 138 hotels in Hue,4.5,2,134,Excellent,20,"Budget,Centrally Located",4,https://www.tripadvisor.com/Hotel_Review-g293926-d1493906-Reviews-New_Valentine_Hotel-Hue_Thua_Thien_Hue_Province.html
