HComment,HCommenter,HContribute,HDate,HThanks,HTime,HTravelType,HTravelerRating,h_Hotel_name,h_reviewer_address,h_reviewer_id,h_title_comment,h_url
"khách sạn có không gian đẹp, nhân viên phục vụ tận tình, chu đáo. phòng đẹp thoáng mát, nhìn đc sông hương về đêm rất đẹp và lãng mạn
Đồ ăn ngon mình thấy nhiều khách tây ít khách việt chắc vì quán này phục vụ tây là chính.",nguyenthile94307,12,Tháng 8 năm 2016,8,thg 12 2016,Đã du lịch với bạn bè,5,Azerai La Residence Hue,"Tỉnh Quảng Nam, Việt Nam",https://www.tripadvisor.com.vn/Profile/nguyenthile94307,quá tuyệt,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or5-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
Khách sạn đã mang cho lại cho chúng tôi cảm giác thật yên bình và relax. Đặc biệt có thể thấy rõ nỗ lực bảo vệ thiên nhiên và gìn giữ môi trường xanh sạch đẹp. Điều rất hài lòng KS có hoạt động cho trẻ em tham gia,Thu Nguyen,9,Tháng 7 năm 2020,1,thg 7 2020,N/A,5,Pilgrimage Village,N/A,https://www.tripadvisor.com.vn/Profile/ThuNguyen298,Thanh Bình,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html
"Mỗi lần đến Huế tôi đều chọn La Residence Hotel & Spa vì
1- Khách sạn: Vị trí của khách sạn nằm bên bờ sông Hương, từ đấy có thể nhìn sang Đại nội, kiến trúc khách sạn kiểu Pháp và sân vườn rất đẹp. Bể bơi nước mặn giữa khu vườn.
2- Nhân viên: Thân thiện, nhiệt tình
3- Ăn sáng: Đồ ăn rất ngon",DinhHuong275,70,Tháng 7 năm 2014,41,thg 6 2015,Đã du lịch với gia đình,5,Azerai La Residence Hue,"Hà Nội, Việt Nam",https://www.tripadvisor.com.vn/Profile/DinhHuong275,Sự lựa chọn của tôi khi đến Huế,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or5-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Đây là lần thứ 4 gia đình tôi đến resort. Tôi đã từng rất hài lòng về sự tận tuỵ với khách hàng của resort khi liên tục có những ưu đãi cho chúng tôi khi chúng tôi quay lại nghỉ dưỡng lần thứ hai và lần thứ ba ở đây. Cụ thể là lần thứ hai đến đây, chúng tôi đặt hai phòng và được ưu đãi một cặp vé massge body. Lần thứ ba quay lại chúng tôi đặt ba phòng và tiếp tục được ưu đãi 6 vé trà chiều và 3 vé massage foot. Chỉ trong vòng chưa đầy một tháng, gia đình tôi đã rất tin tưởng và quay lại nơi đây đến hai lần. Nhưng đến hôm nay, lần thứ tư chúng tôi nghỉ dưỡng ở đây, là một sự thất vọng. Ngay từ khâu đầu tiên đón tiếp khách là cả một sự thiếu chuyên nghiệp! Giữa cái nóng đỉnh điểm, gia đình tôi đi gần 3 tiếng để đến resort nghỉ dưỡng, nhưng khi đến nơi ngay cả khăn lạnh và nước",Han tran,1,Tháng 6 năm 2019,1,thg 6 2019,N/A,1,Pilgrimage Village,N/A,https://www.tripadvisor.com.vn/Profile/Quynhhan23,Thất vọng!!!!,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html
"Các nhân viên rất hữu ích và đi thêm một dặm để giúp đỡ. Khách sạn được thiết kế rất tốt với nhiều chú ý đến từng chi tiết. Nhà hàng phục vụ thức ăn ngon và rất nhiều sự lựa chọn vào bữa sáng. Khách sạn cách ga Huế khoảng 3 - 5 phút lái xe và phía đối diện bờ sông từ Thành cổ, nhưng rất dễ dàng để đi bộ đến. Thực hiện một chuyến đi trên Thuyền rồng - khách sạn có thể tổ chức mọi thứ và ghé thăm Pargoda và lăng mộ trên Minh Mang. Ước gì chúng tôi đã ở lại thêm một ngày.",Helen M,227,Tháng 3 năm 2020,122,thg 3 2020,N/A,5,Azerai La Residence Hue,"Edenbridge, Vương quốc Anh",https://www.tripadvisor.com.vn/Profile/HellWSussex,Thông minh,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or5-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Gia đình mình cùng bạn bè đã có những ngày nghỉ tại đây để khám phá cố đô Huế. Resort yên tĩnh với nhiều cây xanh, các bạn nhân viên cực kỳ thân thiện và chuyên nghiệp. Ăn sáng ngon và đa dạng. Bể bơi là điểm thư giãn hoàn hảo sau những giờ tham quan Huế. Bể bơi rộng với quầy bar nằm ngay cạnh mép nước rất cool, bạn vừa có thể ngâm mình dưới bể vừa thưởng thức đồ uống. Điểm mình hài lòng nhất là phòng nghỉ cùng buồng tắm rộng rãi và view vườn đẹp. Dễ di chuyển bằng taxi vào trung tâm để ăn uống.",An Ha N,2,Tháng 7 năm 2018,2,thg 7 2018,N/A,5,Pilgrimage Village,N/A,https://www.tripadvisor.com.vn/Profile/AnHaN20,Nhất định mình sẽ trở lại đây,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html
"Thật là một khách sạn hoàn toàn tuyệt vời. Sang trọng nhất với những khu vườn tuyệt đẹp, ao hồ và hồ bơi vô cực đáng kinh ngạc với quầy bar riêng với tầm nhìn ra sông. Phòng của chúng tôi là Riverview, rất rộng rãi và tuyệt đẹp. Phục vụ tuyệt vời. Tuy nhiên được cảnh báo. Họ phải nhập khẩu rượu và trong khi bia rẻ thì một ly rượu sẽ đưa bạn trở lại 12. 00 cho một lượng nhỏ rượu vang. Hoàn toàn xứng đáng mặc dù ở tại khách sạn tuyệt vời này. Duyên dáng và thanh lịch.",Annie H,141,Tháng 2 năm 2020,65,thg 3 2020,N/A,5,Azerai La Residence Hue,"Nacton, Vương quốc Anh",https://www.tripadvisor.com.vn/Profile/AnnieH235,"Khách sạn tuyệt vời, thanh lịch",https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or5-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Bỏ qua những ngày làm việc căng thẳng, tôi chọn pilgrimage village làm điểm dừng chân cho kỳ nghỉ lễ.
Cảm nhận đầu tiên khi bước vào khu resort là sự thân thiện của nhân viên ở đây từ lễ tân cho đến bảo vệ. Khung cảnh thực sự mát mẻ và thoái mái dường như giúp tôi trút bỏ hết các mệt mỏi thường ngày. Mỗi nhân viên ở đây khi gặp khách đều nói “xin chào” tạo sự thân thiện cho du khách.
Phòng nghỉ rộng rãi, thoáng mát cách bố trí đơn giản nhưng đầy đủ tiện nghi, sạch sẽ. Có hoa và trái cây sẵn trong phòng.
Đặc biệt ở đây khi Book phòng còn được các voucher giảm giá, trong đó voucher 30’ massage chân hoặc đầu thực sự rất tuyệt vời, ngoài ra bể bơi, buffet sáng cũng không thể chê vào đâu được.
Tóm lại tôi rất hài lòng về chuyến đi này và nếu có cơ hội tôi sẽ quay lại vào những lần tới.",Ho Dang Thang,112,Tháng 4 năm 2018,20,thg 4 2018,Đã du lịch với gia đình,5,Pilgrimage Village,"Tỉnh Thừa Thiên - Huế, Việt Nam",https://www.tripadvisor.com.vn/Profile/Thanghd,Chuyến nghỉ lễ tuyệt vời,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-or5-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Sang trọng ở mọi khía cạnh. Từ các phòng đẹp đẽ đến dịch vụ tuyệt vời, khách sạn này là một trong những dịch vụ tốt nhất. Các nhân viên có sức chứa và hữu ích nhất. Các nhà hàng là tỷ lệ đầu tiên. Sau tất cả, thủ tướng Việt Nam đã chọn ăn tối ở đó trong thời gian chúng tôi ở lại! Vị trí hoàn hảo, đây là nơi 5 sao để ở lại Huế.",Allen M,3,Tháng 2 năm 2020,1,thg 2 2020,Đã du lịch theo đôi,5,Azerai La Residence Hue,N/A,https://www.tripadvisor.com.vn/Profile/AllenM1180,Khách sạn cao cấp,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or10-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Tôi và gia đình đã tới đây nhiều lần, lần nào cũng cảm nhận được một sự thoải mái như nhau. Không gian yên tĩnh, đậm chất vườn tĩnh mịch ngay gần trung tâm thành phố. Hồ bơi vẫn là nét đặc sắc nhất tại đây, với thiết kế phóng khoáng, đẹp, xanh và rộng rãi. Bữa ăn sáng rất ngon, giá phòng hợp lý. Tuyệt vời",Eric Pham,186,Tháng 12 năm 2015,62,thg 11 2016,Đã du lịch với gia đình,5,Pilgrimage Village,"Đà Nẵng, Việt Nam",https://www.tripadvisor.com.vn/Profile/Trung_Pham_Duc,Amazing place,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-or5-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Khách sạn trang trí nghệ thuật được cải tạo tỉ mỉ này là 5 sao từ dịch vụ đến tiện nghi đến phòng. Nhà hàng có một số món ăn ngon nhất chúng tôi có trong tất cả các chuyến đi của chúng tôi trên khắp Việt Nam. Đó là vị trí trên sông Parfum và cách xa trung tâm thị trấn, mang đến cho nó một khung cảnh vô cùng yên bình. Bồn rửa đôi trong phòng tắm vanity là một xa xỉ. Massage của chúng tôi tại spa là tuyệt vời. Chúng tôi thực sự khuyên bạn nên ở tại một trong những khách sạn tốt!",AnnieS509,143,Tháng 2 năm 2020,76,thg 2 2020,N/A,5,Azerai La Residence Hue,"San Diego, California, United States",https://www.tripadvisor.com.vn/Profile/AnnieS509,Đã qua thời đại huy hoàng !!!!,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or10-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Ngay từ bước chân đầu tiên vào Pilgrimage Village, tôi đã bị mê hoặc bởi không gian xanh ngắt đậm chất truyền thống Việt Nam với tường gạch thô, lu nước, hồ sen... giữa lòng khách sạn. Hồ bơi dài 50m là điểm nhấn tuyệt vời của khách sạn khi kết hợp quầy bar trong hồ bơi. Phòng đẹp, tiện nghi với phòng tắm rộng rãi & giường king size cực êm. Thú vị nhất là buổi sáng thức giấc nhâm nhi ly cafe bên khung cửa & lắng nghe tiếng chim hót líu lo. Pilgrimage Village thực sự là sự lựa chọn xứng đáng của những khách hàng khó tính khi đến Huế.",Trang H,52,Tháng 12 năm 2015,15,thg 11 2016,Đã du lịch với gia đình,5,Pilgrimage Village,"Đà Nẵng, Việt Nam",https://www.tripadvisor.com.vn/Profile/661trangh,Resort yên tĩnh trong lòng Huế xưa,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-or5-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html#REVIEWS
Chúng tôi nâng cấp cho kỷ niệm của chúng tôi để một bộ. Đó là giá trị nó. Ngoài ra các món ăn tại nhà hàng là tuyệt vời. Các vị trí và tài sản là hoàn hảo. Và dịch vụ này thật tuyệt vời và luôn luôn nở nụ cười. Chúng tôi đánh giá cao khách sạn này một cách tận tình! ! !,Harvey C,171,Tháng 10 năm 2019,113,thg 10 2019,Đã du lịch theo đôi,5,Azerai La Residence Hue,"Cincinnati, Ohio",https://www.tripadvisor.com.vn/Profile/715harveyc,Khách sạn tuyệt vời ở Huế,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or10-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Tôi đến Làng Hành Hương qua chuyến đi khảo sát của khách sạn. Khu nghỉ dưỡng rất đẹp, phòng rộng, sạch sẽ và wifi cực mạnh.
Nhân viên vô cùng thân thiện và mến khách.
Vị trí hơi xa trung tâm thành phố nhưng bạn có thể sử dụng dịch vụ shuttle bus.",Tran Thu Lien,33,Tháng 7 năm 2015,28,thg 6 2016,Đã du lịch khi công tác,5,Pilgrimage Village,"London, Vương quốc Anh",https://www.tripadvisor.com.vn/Profile/thachl2018,Rất đẹp!,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-or5-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Pháp thuộc thời 1930 lộng lẫy. Nhân viên tuyệt vời, thực phẩm và Spa. Chị Anh thật tuyệt vời khi được mát xa. Cô ấy có đôi bàn tay rất mềm và tôi rất thư giãn sau 90 phút tôi bay ra khỏi Spa trên không. Chúng tôi chỉ sắp ăn ở nhà hàng. Tôi được cho biết các lựa chọn ăn chay là tuyệt vời!",Acupuncture-man,10,Tháng 9 năm 2019,10,thg 9 2019,Đã du lịch theo đôi,5,Azerai La Residence Hue,"Taunton, Vương quốc Anh",https://www.tripadvisor.com.vn/Profile/Acupuncture-man,Năm sao!,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or10-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Vị trí gần đồi Thiên An, Lăng Minh Mạng. Khi vào trong thành phố cũng không xa lắm.
Một nơi thiết kế rất đẹp, rất gần với thiên nhiên. Phục vụ chu đáo và nhiệt tình.
Phòng ở cũng rất đẹp , tương xứng với đẳng cấp của Làng Hành Hương
PHòng tắm đẹp",Luke luke,183,Tháng 5 năm 2015,26,thg 4 2016,Đã du lịch với gia đình,5,Pilgrimage Village,"Thành phố Hồ Chí Minh, Việt Nam",https://www.tripadvisor.com.vn/Profile/ColeSolomon,Địa điểm có vị trí và dịch vụ tốt khi đến Huế,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-or5-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Có lẽ là khách sạn đẹp nhất ở Huế! Chúng tôi đã được đón tại sân bay (khách sạn cách đó 20 - 30 phút lái xe). Căn phòng được trang trí độc đáo, trên tầng 3 nhìn ra vườn, hồ bơi và dòng sông. Nhà hàng lớn trong đó cung cấp một thực đơn đa dạng. Phòng tập thể dục đẹp và spa tuyệt vời. Họ tổ chức một tour du lịch riêng cho chúng tôi, điều đó thật tuyệt vời.",Ana K.,3,Tháng 8 năm 2019,2,thg 9 2019,N/A,5,Azerai La Residence Hue,"Madrid, Tây Ban Nha",https://www.tripadvisor.com.vn/Profile/anakreisler,Khu dân cư Azerai la,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or10-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Mình đã đến 3 lần, lần nào cũng vui. Không gian thiết kế rất Việt. Nhân viên phục vụ nhiệt tình, dịch vụ tốt. Hồ bơi rộng và dài. Spa tuyệt vời ông mặt trời. Phòng sạch sẽ, rộng rãi, tiện nghi. Thức ăn thì không đặc biệt giá thì mắc.",Khoapda,301,Tháng 3 năm 2015,155,thg 2 2016,N/A,5,Pilgrimage Village,"Thành phố Hồ Chí Minh, Việt Nam",https://www.tripadvisor.com.vn/Profile/Khoapda,Yên tĩnh,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-or10-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html#REVIEWS
Khách sạn này là hoàn toàn tuyệt vời. Sẽ giới thiệu nó cho bất cứ ai. Nhiều loại thực phẩm cho bữa sáng và một phiếu giảm giá miễn phí cũng được cung cấp. Nơi này nằm trong một khu vực rất đẹp và thật dễ dàng để có được quá cung điện hoàng gia.,khush S,28,Tháng 8 năm 2019,4,thg 8 2019,Đã du lịch với gia đình,5,Azerai La Residence Hue,N/A,https://www.tripadvisor.com.vn/Profile/38khushs,Khách sạn tuyệt vời và nơi tuyệt vời,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or15-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Tôi có 2 vouchers nghỉ dưỡng tại Resort Làng Hành Hương (Huế), cách đây 10 ngày tôi có gọi điện tới bộ phận đặt phòng để hỏi vào ngày 2/8 còn phòng không, sau đó nhân viên trả lời sẽ kiểm tra va họ yêu cầu tôi scan 2 vouchers gửi tới mail của bộ phận đặt phòng trước. Ngày hôm sau, tôi đã gởi mail hỏi và gởi kèm 2 vouchers sau đó họ trả lời đã kín phòng nhưng không nói rõ cụ thể thời gian lúc nào còn phòng trở lại. Tôi thật sự không hài lòng về thái độ và cách trả lời của nhân viên đối với những thắc mắc và yêu cầu của khách hàng. Tôi hy vọng dù là khách trực tiếp mua dịch vụ hay sử dụng voucher vẫn sẽ nhận được sự phục vụ chuyên nghiệp của nhân viên!

I have 2 vouchers of Pilgrimage Village (Hue city). About 10 days ago, i called to Reservation department to ask room on August 2nd, then your staffs said that they would check and answer my order. Moreover, they ask me to scan two vouchers and send to Reservation's email. The day after, i sent email, then staffs replied that resort is full, but they didn't answer when they have room. I'm really disappointed about attitude and the way they answer my questions. I hope that even any guests who buy service directly or use vouchers, they will be serviced professionally!

Thanks and best regards!",Kim Như,4,Tháng 7 năm 2015,17,thg 7 2015,Đã du lịch với bạn bè,1,Pilgrimage Village,"Đà Nẵng, Việt Nam",https://www.tripadvisor.com.vn/Profile/Hannayoon,Review about staff's attitude,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-or10-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Các nhân viên chỉ đơn giản là đáng yêu, có thể làm đủ cho bạn. Bàn cờ trong quán bar giữ tôi và đứa con trai 13 tuổi của tôi chiếm giữ hàng giờ. Và ông Tung đã làm một công việc tuyệt vời với vũ trụ! Cảm ơn tất cả các bạn cho một kỳ nghỉ đáng yêu.",MJHT2015,24,Tháng 8 năm 2019,21,thg 8 2019,Đã du lịch với gia đình,5,Azerai La Residence Hue,"Dublin, Ireland",https://www.tripadvisor.com.vn/Profile/MJHT2015,Dịch vụ tuyệt vời,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or15-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Sau khi tham quan ở Huế, rất đẹp nhưng thực sự mệt mỏi vì chúng tôi đã tham quan cả ngày và trời rất nóng. Sau đó chúng tôi nghỉ ngơi trong khách sạn xinh đẹp này, hồ bơi rất xanh, rất đẹp. Chúng tôi đã có massage như một gói. Yoga vào buổi sáng rất đẹp. Cristy, nhân viên của cô ấy rất hữu ích, chuyến bay của chúng tôi bị trì hoãn. Chúng tôi được họ thông báo, họ đặt vé đón chúng tôi ở Sài Gòn. Cảm ơn bạn đã chăm sóc chúng tôi rất tốt. Tất cả những điều tốt nhất cho bạn Cristy và nhân viên của bạn.",Melani2016,4,Tháng 2 năm 2020,8,thg 2 2020,Đã du lịch với gia đình,5,Pilgrimage Village,"London, Vương quốc Anh",https://www.tripadvisor.com.vn/Profile/Melani2016,Một thiên đường ở Huế,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-or10-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Tòa nhà thuộc địa truyền thống được tân trang lại rất tốt và được trang trí theo phong cách Art D co thuần khiết nhất. Khách sạn sang trọng bằng mọi cách, bạn được chào đón ngay khi bước vào.
Gần trung tâm thành phố, nó ở trong một môi trường rất yên tĩnh bên bờ sông.
Tất cả các tiện nghi hiện đại đều có sẵn, bao gồm thang máy lên các tầng trên, các phòng đều rộng và được trang bị rất tốt.
Wifi hiệu quả ở mọi nơi.
Nhà hàng là tuyệt vời, tất nhiên đắt hơn ở những nơi địa phương tốt, nhưng nó cung cấp các món ăn địa phương trong các phiên bản tinh vi.
Bữa sáng là tuyệt vời, quầy lễ tân có địa chỉ rất tốt trong thị trấn. Có lẽ là khách sạn tốt nhất trong khu vực",Gerard G,145,Tháng 4 năm 2019,80,thg 4 2019,Đã du lịch theo đôi,5,Azerai La Residence Hue,Yvelines,https://www.tripadvisor.com.vn/Profile/gerardg868,Magnifique,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or15-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
